Sender,Receiver,Timestamp
mpetrova@gmail.com,aivanov@gmail.com,2023-03-18 01:00:57
lvasiliev@gmail.com,mpetrova@gmail.com,2023-03-18 09:28:42
dsmisnov@gmail.com,mpetrova@gmail.com,2023-03-18 10:15:39
lvasiliev@gmail.com,nsokolov@gmail.com,2023-03-18 07:13:21
nsokolov@gmail.com,mpetrova@gmail.com,2023-03-18 20:06:44
nsokolov@gmail.com,lvasiliev@gmail.com,2023-03-18 18:28:07
dsmisnov@gmail.com,ekuznetsova@gmail.com,2023-03-18 22:39:26
nsokolov@gmail.com,ekuznetsova@gmail.com,2023-03-18 16:45:27
mpetrova@gmail.com,knikolaeva@gmail.com,2023-03-18 01:33:40
okozlova@gmail.com,mpetrova@gmail.com,2023-03-18 16:18:42
mpetrova@gmail.com,ekuznetsova@gmail.com,2023-03-18 01:47:02
mpetrova@gmail.com,nsokolov@gmail.com,2023-03-18 13:26:14
lvasiliev@gmail.com,abelov@gmail.com,2023-03-18 12:34:20
nsokolov@gmail.com,pzaitsev@gmail.com,2023-03-18 12:10:00
knikolaeva@gmail.com,abelov@gmail.com,2023-03-18 09:07:21
knikolaeva@gmail.com,pzaitsev@gmail.com,2023-03-18 19:41:57
okozlova@gmail.com,abelov@gmail.com,2023-03-18 01:04:07
okozlova@gmail.com,lvasiliev@gmail.com,2023-03-18 12:14:38
dsmisnov@gmail.com,abelov@gmail.com,2023-03-18 13:46:05
ekuznetsova@gmail.com,nsokolov@gmail.com,2023-03-18 10:34:15
pzaitsev@gmail.com,mpetrova@gmail.com,2023-03-18 16:12:49
abelov@gmail.com,knikolaeva@gmail.com,2023-03-18 19:28:48
aivanov@gmail.com,abelov@gmail.com,2023-03-18 00:18:25
lvasiliev@gmail.com,nsokolov@gmail.com,2023-03-18 00:45:21
pzaitsev@gmail.com,abelov@gmail.com,2023-03-18 19:10:35
ekuznetsova@gmail.com,lvasiliev@gmail.com,2023-03-18 14:35:52
ekuznetsova@gmail.com,abelov@gmail.com,2023-03-18 15:40:37
okozlova@gmail.com,nsokolov@gmail.com,2023-03-18 18:18:35
aivanov@gmail.com,dsmisnov@gmail.com,2023-03-18 19:15:13
